name,url,query,sites,review_bucket,final_assessment,recommended_action,rationale
DHS,"https://news.google.com/rss/search?q=site:dhs.gov+OR+""Homeland+Security""&hl=en-US&gl=US&ceid=US:en","site:dhs.gov OR ""Homeland Security""",dhs.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
Brookings,https://news.google.com/rss/search?q=site:brookings.edu+when:7d&hl=en-US&gl=US&ceid=US:en,site:brookings.edu when:7d,brookings.edu,reputable_domain_scoped_query,medium,keep_secondary,특정 도메인(site:) 제한이 있어 노이즈가 낮음. 다만 Google 쿼리 피드 특성상 보조 운용 권장.
CSIS,https://news.google.com/rss/search?q=site:csis.org+when:7d&hl=en-US&gl=US&ceid=US:en,site:csis.org when:7d,csis.org,reputable_domain_scoped_query,medium,keep_secondary,특정 도메인(site:) 제한이 있어 노이즈가 낮음. 다만 Google 쿼리 피드 특성상 보조 운용 권장.
AI News,https://news.google.com/rss/search?q=(OpenAI+OR+Anthropic+OR+Google+AI+OR+ChatGPT+OR+Claude)+when:2d&hl=en-US&gl=US&ceid=US:en,(OpenAI OR Anthropic OR Google AI OR ChatGPT OR Claude) when:2d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Anthropic News,https://news.google.com/rss/search?q=Anthropic+Claude+AI+when:7d&hl=en-US&gl=US&ceid=US:en,Anthropic Claude AI when:7d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
OpenAI News,https://news.google.com/rss/search?q=OpenAI+ChatGPT+GPT-4+when:7d&hl=en-US&gl=US&ceid=US:en,OpenAI ChatGPT GPT-4 when:7d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
PitchBook News,https://news.google.com/rss/search?q=site:pitchbook.com+when:7d&hl=en-US&gl=US&ceid=US:en,site:pitchbook.com when:7d,pitchbook.com,reputable_domain_scoped_query,medium,keep_secondary,특정 도메인(site:) 제한이 있어 노이즈가 낮음. 다만 Google 쿼리 피드 특성상 보조 운용 권장.
All-In Podcast,"https://news.google.com/rss/search?q=""All-In+podcast""+when:7d&hl=en-US&gl=US&ceid=US:en","""All-In podcast"" when:7d",,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Al Arabiya,https://news.google.com/rss/search?q=site:english.alarabiya.net+when:2d&hl=en-US&gl=US&ceid=US:en,site:english.alarabiya.net when:2d,english.alarabiya.net,unknown_domain_scoped_query,needs_manual_review,manual_review,site: 제한은 있으나 도메인 검증 근거가 충분치 않음.
Africa News,https://news.google.com/rss/search?q=(Africa+OR+Nigeria+OR+Kenya+OR+Ethiopia)+when:2d&hl=en-US&gl=US&ceid=US:en,(Africa OR Nigeria OR Kenya OR Ethiopia) when:2d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Latin America,https://news.google.com/rss/search?q=(Brazil+OR+Mexico+OR+Argentina+OR+Colombia)+when:2d&hl=en-US&gl=US&ceid=US:en,(Brazil OR Mexico OR Argentina OR Colombia) when:2d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Reuters LatAm,https://news.google.com/rss/search?q=site:reuters.com+(Brazil+OR+Mexico+OR+Argentina)+when:3d&hl=en-US&gl=US&ceid=US:en,site:reuters.com (Brazil OR Mexico OR Argentina) when:3d,reuters.com,wire_domain_scoped_query,medium_high,keep_primary_or_replace_with_direct,Wire 도메인에 site: 제한됨. 신뢰도는 상대적으로 높지만 가능하면 직접 RSS가 우선.
Asia News,https://news.google.com/rss/search?q=(China+OR+Japan+OR+Korea+OR+India+OR+ASEAN)+when:2d&hl=en-US&gl=US&ceid=US:en,(China OR Japan OR Korea OR India OR ASEAN) when:2d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Reuters Asia,https://news.google.com/rss/search?q=site:reuters.com+(China+OR+Japan+OR+Taiwan+OR+Korea)+when:3d&hl=en-US&gl=US&ceid=US:en,site:reuters.com (China OR Japan OR Taiwan OR Korea) when:3d,reuters.com,wire_domain_scoped_query,medium_high,keep_primary_or_replace_with_direct,Wire 도메인에 site: 제한됨. 신뢰도는 상대적으로 높지만 가능하면 직접 RSS가 우선.
KrASIA,https://news.google.com/rss/search?q=site:kr-asia.com+OR+KrASIA+when:7d&hl=en-US&gl=US&ceid=US:en,site:kr-asia.com OR KrASIA when:7d,kr-asia.com,unknown_domain_scoped_query,needs_manual_review,manual_review,site: 제한은 있으나 도메인 검증 근거가 충분치 않음.
Janes,https://news.google.com/rss/search?q=site:janes.com+when:3d&hl=en-US&gl=US&ceid=US:en,site:janes.com when:3d,janes.com,reputable_domain_scoped_query,medium,keep_secondary,특정 도메인(site:) 제한이 있어 노이즈가 낮음. 다만 Google 쿼리 피드 특성상 보조 운용 권장.
Chatham House,https://news.google.com/rss/search?q=site:chathamhouse.org+when:7d&hl=en-US&gl=US&ceid=US:en,site:chathamhouse.org when:7d,chathamhouse.org,reputable_domain_scoped_query,medium,keep_secondary,특정 도메인(site:) 제한이 있어 노이즈가 낮음. 다만 Google 쿼리 피드 특성상 보조 운용 권장.
