name,tier,beat,country,url,source_type,reliability_tier,confidence,rationale
"The Hacker News","3","security","US","https://feeds.feedburner.com/TheHackersNews","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Krebs on Security","3","security","US","https://krebsonsecurity.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Dark Reading","3","security","US","https://www.darkreading.com/rss.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Crunchbase News","2","business","US","https://news.crunchbase.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"SaaStr","3","business","US","https://www.saastr.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"TechCrunch Startups","2","tech","US","https://techcrunch.com/category/startups/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"TechCrunch Venture","2","business","US","https://techcrunch.com/category/venture/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"PitchBook News","2","business","US","https://news.google.com/rss/search?q=site:pitchbook.com+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"CB Insights","2","business","US","https://www.cbinsights.com/research/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Y Combinator Blog","2","tech","US","https://www.ycombinator.com/blog/rss/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"a16z Blog","2","tech","US","https://a16z.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Sequoia Blog","2","business","US","https://www.sequoiacap.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Lenny Newsletter","3","business","US","https://www.lennysnewsletter.com/feed","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Stratechery","2","tech","US","https://stratechery.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"All-In Podcast","3","business","US","https://news.google.com/rss/search?q=""All-In+podcast""+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"BBC Middle East","2","world","UK","https://feeds.bbci.co.uk/news/world/middle_east/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Al Arabiya","3","world","SA","https://news.google.com/rss/search?q=site:english.alarabiya.net+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Kyiv Independent","2","world","UA","https://kyivindependent.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Moscow Times","3","world","RU","https://www.themoscowtimes.com/rss/news","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Africa News","3","world","ZA","https://news.google.com/rss/search?q=(Africa+OR+Nigeria+OR+Kenya+OR+Ethiopia)+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"BBC Africa","2","world","UK","https://feeds.bbci.co.uk/news/world/africa/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Latin America","3","world","LATAM","https://news.google.com/rss/search?q=(Brazil+OR+Mexico+OR+Argentina+OR+Colombia)+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"BBC Latin America","2","world","UK","https://feeds.bbci.co.uk/news/world/latin_america/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Reuters LatAm","1","world","US","https://news.google.com/rss/search?q=site:reuters.com+(Brazil+OR+Mexico+OR+Argentina)+when:3d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Asia News","3","world","ASIA","https://news.google.com/rss/search?q=(China+OR+Japan+OR+Korea+OR+India+OR+ASEAN)+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"BBC Asia","2","world","UK","https://feeds.bbci.co.uk/news/world/asia/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"South China Morning Post","2","world","HK","https://www.scmp.com/rss/91/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Reuters Asia","1","world","US","https://news.google.com/rss/search?q=site:reuters.com+(China+OR+Japan+OR+Taiwan+OR+Korea)+when:3d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Tech in Asia","3","tech","SG","https://www.techinasia.com/feed","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"KrASIA","3","tech","SG","https://news.google.com/rss/search?q=site:kr-asia.com+OR+KrASIA+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"EU Startups","3","tech","EU","https://www.eu-startups.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Tech.eu","3","tech","EU","https://tech.eu/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Sifted Europe","3","tech","EU","https://sifted.eu/feed","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"TechCabal","3","tech","NG","https://techcabal.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Inc42","3","tech","IN","https://inc42.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"YourStory","3","tech","IN","https://yourstory.com/feed","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"LAVCA","3","business","LATAM","https://lavca.org/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Defense One","3","security","US","https://www.defenseone.com/rss/all/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Breaking Defense","3","security","US","https://breakingdefense.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"The War Zone","3","security","US","https://www.thedrive.com/the-war-zone/rss","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Defense News","3","security","US","https://www.defensenews.com/arc/outboundfeeds/rss/?outputType=xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Janes","3","security","UK","https://news.google.com/rss/search?q=site:janes.com+when:3d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Bellingcat","3","security","NL","https://www.bellingcat.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Chatham House","3","politics","UK","https://news.google.com/rss/search?q=site:chathamhouse.org+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"ECFR","3","politics","EU","https://ecfr.eu/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Middle East Institute","3","politics","US","https://www.mei.edu/rss.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"RAND","3","politics","US","https://www.rand.org/rss/all.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Carnegie","3","politics","US","https://carnegieendowment.org/rss/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"NTI","3","security","US","https://www.nti.org/rss/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
